,img_id,file_name,hour,minute,bbox_det,new_file_name,image_url,base_image_url
0,0,3 Women 10.42 p.m.png,10,42,"[1015.8, 277.41, 66.68, 67.94]",3_Women_10.42_p.m.png,https://static.wikia.nocookie.net/theclock/images/7/74/3_Women_10.42_p.m.png/revision/latest/scale-to-width-down/185?cb=20210607224618,https://static.wikia.nocookie.net/theclock/images/7/74/3_Women_10.42_p.m.png
1,1,3.10 to Yuma (1957) 2.28 p.m.png,2,28,"[388.94, 5.13, 1067.46, 1013.73]",3.10_to_Yuma_%281957%29_2.28_p.m.png,https://static.wikia.nocookie.net/theclock/images/5/54/3.10_to_Yuma_%281957%29_2.28_p.m.png/revision/latest/scale-to-width-down/185?cb=20200922092215,https://static.wikia.nocookie.net/theclock/images/5/54/3.10_to_Yuma_%281957%29_2.28_p.m.png
2,2,3.10 to Yuma (1957) 11.00 a.m.png,11,0,"[614.14, 214.69, 670.01, 655.6]",3.10_to_Yuma_%281957%29_11.00_a.m.png,https://static.wikia.nocookie.net/theclock/images/9/98/3.10_to_Yuma_%281957%29_11.00_a.m.png/revision/latest/scale-to-width-down/185?cb=20200922092151,https://static.wikia.nocookie.net/theclock/images/9/98/3.10_to_Yuma_%281957%29_11.00_a.m.png
3,3,3.10 to Yuma (1957) 11.07 a.m.png,11,7,"[720.37, 384.98, 512.07, 523.26]",3.10_to_Yuma_%281957%29_11.07_a.m.png,https://static.wikia.nocookie.net/theclock/images/e/e8/3.10_to_Yuma_%281957%29_11.07_a.m.png/revision/latest/scale-to-width-down/185?cb=20200922092206,https://static.wikia.nocookie.net/theclock/images/e/e8/3.10_to_Yuma_%281957%29_11.07_a.m.png
4,4,3.10 to Yuma (2007) 1.04 p.m.png,1,4,"[672.69, 258.02, 420.27, 337.11]",3.10_to_Yuma_%282007%29_1.04_p.m.png,https://static.wikia.nocookie.net/theclock/images/1/15/3.10_to_Yuma_%282007%29_1.04_p.m.png/revision/latest/scale-to-width-down/185?cb=20200803065754,https://static.wikia.nocookie.net/theclock/images/1/15/3.10_to_Yuma_%282007%29_1.04_p.m.png
5,5,3.10 to Yuma (2007) 1.30 p.m.png,1,30,"[772.42, 213.3, 294.2, 253.38]",3.10_to_Yuma_%282007%29_1.30_p.m.png,https://static.wikia.nocookie.net/theclock/images/4/40/3.10_to_Yuma_%282007%29_1.30_p.m.png/revision/latest/scale-to-width-down/185?cb=20200803065758,https://static.wikia.nocookie.net/theclock/images/4/40/3.10_to_Yuma_%282007%29_1.30_p.m.png
6,6,3.10 to Yuma (2007) 2.14 p.m.png,2,14,"[1099.24, 281.39, 465.44, 437.02]",3.10_to_Yuma_%282007%29_2.14_p.m.png,https://static.wikia.nocookie.net/theclock/images/0/04/3.10_to_Yuma_%282007%29_2.14_p.m.png/revision/latest/scale-to-width-down/185?cb=20200803065802,https://static.wikia.nocookie.net/theclock/images/0/04/3.10_to_Yuma_%282007%29_2.14_p.m.png
7,7,3.10 to Yuma (2007) 2.40 p.m. 2.png,2,40,"[991.95, 229.84, 419.35, 417.18]",3.10_to_Yuma_%282007%29_2.40_p.m._2.png,https://static.wikia.nocookie.net/theclock/images/2/28/3.10_to_Yuma_%282007%29_2.40_p.m._2.png/revision/latest/scale-to-width-down/185?cb=20200803065811,https://static.wikia.nocookie.net/theclock/images/2/28/3.10_to_Yuma_%282007%29_2.40_p.m._2.png
8,8,3.10 to Yuma (2007) 10.25 a.m.png,10,25,"[704.92, 327.08, 350.93, 251.83]",3.10_to_Yuma_%282007%29_10.25_a.m.png,https://static.wikia.nocookie.net/theclock/images/d/dd/3.10_to_Yuma_%282007%29_10.25_a.m.png/revision/latest/scale-to-width-down/185?cb=20200803065752,https://static.wikia.nocookie.net/theclock/images/d/dd/3.10_to_Yuma_%282007%29_10.25_a.m.png
9,9,8½ 1.30 p.m.png,1,30,"[1160.55, 152.65, 102.26, 103.98]",8%C2%BD_1.30_p.m.png,https://static.wikia.nocookie.net/theclock/images/0/07/8%C2%BD_1.30_p.m.png/revision/latest/scale-to-width-down/185?cb=20210417002940,https://static.wikia.nocookie.net/theclock/images/0/07/8%C2%BD_1.30_p.m.png
10,10,8½ 2.00 a.m. 1.png,2,0,"[737.82, 23.81, 166.99, 175.68]",8%C2%BD_2.00_a.m._1.png,https://static.wikia.nocookie.net/theclock/images/b/b8/8%C2%BD_2.00_a.m._1.png/revision/latest/scale-to-width-down/185?cb=20210417002927,https://static.wikia.nocookie.net/theclock/images/b/b8/8%C2%BD_2.00_a.m._1.png
11,11,8½ 2.00 a.m. 2.png,2,0,"[759.04, 15.67, 421.99, 397.69]",8%C2%BD_2.00_a.m._2.png,https://static.wikia.nocookie.net/theclock/images/0/0d/8%C2%BD_2.00_a.m._2.png/revision/latest/scale-to-width-down/185?cb=20210417002934,https://static.wikia.nocookie.net/theclock/images/0/0d/8%C2%BD_2.00_a.m._2.png
12,12,11.14 10.59 p.m.png,10,59,"[462.3, 0.07, 1111.43, 1065.64]",11.14_10.59_p.m.png,https://static.wikia.nocookie.net/theclock/images/4/40/11.14_10.59_p.m.png/revision/latest/scale-to-width-down/185?cb=20210113171436,https://static.wikia.nocookie.net/theclock/images/4/40/11.14_10.59_p.m.png
13,13,12 Monkeys 8.49 p.m.png,8,49,"[861.85, 80.14, 226.75, 231.65]",12_Monkeys_8.49_p.m.png,https://static.wikia.nocookie.net/theclock/images/b/b2/12_Monkeys_8.49_p.m.png/revision/latest/scale-to-width-down/185?cb=20210606182522,https://static.wikia.nocookie.net/theclock/images/b/b2/12_Monkeys_8.49_p.m.png
14,14,16 Blocks 7.56 a.m.png,7,56,"[896.21, 106.32, 676.56, 663.87]",16_Blocks_7.56_a.m.png,https://static.wikia.nocookie.net/theclock/images/a/a7/16_Blocks_7.56_a.m.png/revision/latest/scale-to-width-down/185?cb=20200810082344,https://static.wikia.nocookie.net/theclock/images/a/a7/16_Blocks_7.56_a.m.png
15,15,16 Blocks 9.54 a.m.png,9,54,"[521.65, 124.22, 178.69, 283.48]",16_Blocks_9.54_a.m.png,https://static.wikia.nocookie.net/theclock/images/8/8a/16_Blocks_9.54_a.m.png/revision/latest/scale-to-width-down/185?cb=20200810082613,https://static.wikia.nocookie.net/theclock/images/8/8a/16_Blocks_9.54_a.m.png
16,17,49th Parallel 9.19 p.m.png,9,19,"[1033.43, 71.11, 133.9, 141.64]",49th_Parallel_9.19_p.m.png,https://static.wikia.nocookie.net/theclock/images/8/8f/49th_Parallel_9.19_p.m.png/revision/latest/scale-to-width-down/185?cb=20210114050224,https://static.wikia.nocookie.net/theclock/images/8/8f/49th_Parallel_9.19_p.m.png
17,18,88 Minutes 10.58 p.m.png,10,58,"[724.75, 42.72, 561.92, 707.52]",88_Minutes_10.58_p.m.png,https://static.wikia.nocookie.net/theclock/images/9/93/88_Minutes_10.58_p.m.png/revision/latest/scale-to-width-down/185?cb=20210108093251,https://static.wikia.nocookie.net/theclock/images/9/93/88_Minutes_10.58_p.m.png
18,19,88 Minutes 11.17 a.m.png,11,17,"[563.37, 5.39, 929.35, 799.78]",88_Minutes_11.17_a.m.png,https://static.wikia.nocookie.net/theclock/images/6/65/88_Minutes_11.17_a.m.png/revision/latest/scale-to-width-down/185?cb=20210108093239,https://static.wikia.nocookie.net/theclock/images/6/65/88_Minutes_11.17_a.m.png
19,20,101 Dalmatians 7.04 a.m.png,7,4,"[440.11, 225.94, 724.2, 700.85]",101_Dalmatians_7.04_a.m.png,https://static.wikia.nocookie.net/theclock/images/6/68/101_Dalmatians_7.04_a.m.png/revision/latest/scale-to-width-down/185?cb=20200918082018,https://static.wikia.nocookie.net/theclock/images/6/68/101_Dalmatians_7.04_a.m.png
20,21,102 Dalmatians 10.00 a.m.png,10,0,"[942.5, 266.68, 105.2, 109.5]",102_Dalmatians_10.00_a.m.png,https://static.wikia.nocookie.net/theclock/images/1/1a/102_Dalmatians_10.00_a.m.png/revision/latest/scale-to-width-down/185?cb=20210603023310,https://static.wikia.nocookie.net/theclock/images/1/1a/102_Dalmatians_10.00_a.m.png
21,22,102 Dalmatians 11.05 a.m.png,11,5,"[336.15, 506.67, 238.02, 262.32]",102_Dalmatians_11.05_a.m.png,https://static.wikia.nocookie.net/theclock/images/7/76/102_Dalmatians_11.05_a.m.png/revision/latest/scale-to-width-down/185?cb=20210603023317,https://static.wikia.nocookie.net/theclock/images/7/76/102_Dalmatians_11.05_a.m.png
22,23,102 Dalmatians 11.45 a.m.png,11,45,"[846.25, 399.01, 257.67, 263.45]",102_Dalmatians_11.45_a.m.png,https://static.wikia.nocookie.net/theclock/images/9/9d/102_Dalmatians_11.45_a.m.png/revision/latest/scale-to-width-down/185?cb=20210603025006,https://static.wikia.nocookie.net/theclock/images/9/9d/102_Dalmatians_11.45_a.m.png
23,24,1408 4.55 p.m.png,4,55,"[835.56, 131.44, 80.85, 83.22]",1408_4.55_p.m.png,https://static.wikia.nocookie.net/theclock/images/d/d3/1408_4.55_p.m.png/revision/latest/scale-to-width-down/185?cb=20200801231322,https://static.wikia.nocookie.net/theclock/images/d/d3/1408_4.55_p.m.png
24,25,1408 4.56 p.m.png,4,56,"[890.37, 365.62, 267.3, 241.21]",1408_4.56_p.m.png,https://static.wikia.nocookie.net/theclock/images/c/c1/1408_4.56_p.m.png/revision/latest/scale-to-width-down/185?cb=20200801231329,https://static.wikia.nocookie.net/theclock/images/c/c1/1408_4.56_p.m.png
25,26,A Beautiful Mind 5.37 p.m.png,5,37,"[1005.04, 37.26, 111.75, 120.53]",A_Beautiful_Mind_5.37_p.m.png,https://static.wikia.nocookie.net/theclock/images/b/bf/A_Beautiful_Mind_5.37_p.m.png/revision/latest/scale-to-width-down/185?cb=20210428232646,https://static.wikia.nocookie.net/theclock/images/b/bf/A_Beautiful_Mind_5.37_p.m.png
26,27,A Hard Day's Night 7.35 p.m.png,7,35,"[776.39, 76.65, 219.5, 218.98]",A_Hard_Day%27s_Night_7.35_p.m.png,https://static.wikia.nocookie.net/theclock/images/e/eb/A_Hard_Day%27s_Night_7.35_p.m.png/revision/latest/scale-to-width-down/185?cb=20210416222515,https://static.wikia.nocookie.net/theclock/images/e/eb/A_Hard_Day%27s_Night_7.35_p.m.png
27,28,A Lesson in Love 9.38 p.m.png,9,38,"[885.96, 53.26, 216.71, 338.51]",A_Lesson_in_Love_9.38_p.m.png,https://static.wikia.nocookie.net/theclock/images/c/ca/A_Lesson_in_Love_9.38_p.m.png/revision/latest/scale-to-width-down/185?cb=20210404202242,https://static.wikia.nocookie.net/theclock/images/c/ca/A_Lesson_in_Love_9.38_p.m.png
28,29,A Night to Remember 1.53 a.m.png,1,53,"[1019.38, 220.26, 67.08, 109.64]",A_Night_to_Remember_1.53_a.m.png,https://static.wikia.nocookie.net/theclock/images/4/40/A_Night_to_Remember_1.53_a.m.png/revision/latest/scale-to-width-down/185?cb=20200823014534,https://static.wikia.nocookie.net/theclock/images/4/40/A_Night_to_Remember_1.53_a.m.png
29,30,A Night to Remember 10.49 p.m.png,10,49,"[624.89, 76.73, 95.9, 110.88]",A_Night_to_Remember_10.49_p.m.png,https://static.wikia.nocookie.net/theclock/images/e/e7/A_Night_to_Remember_10.49_p.m.png/revision/latest/scale-to-width-down/185?cb=20200823014552,https://static.wikia.nocookie.net/theclock/images/e/e7/A_Night_to_Remember_10.49_p.m.png
30,31,A Nightmare on Elm Street 3 Dream Warriors 1.21 a.m.png,1,21,"[714.74, 147.72, 976.05, 862.56]",A_Nightmare_on_Elm_Street_3_Dream_Warriors_1.21_a.m.png,https://static.wikia.nocookie.net/theclock/images/5/5f/A_Nightmare_on_Elm_Street_3_Dream_Warriors_1.21_a.m.png/revision/latest/scale-to-width-down/185?cb=20200807202116,https://static.wikia.nocookie.net/theclock/images/5/5f/A_Nightmare_on_Elm_Street_3_Dream_Warriors_1.21_a.m.png
31,32,A Nightmare on Elm Street 4 The Dream Master 10.14 p.m.png,10,14,"[475.78, 147.12, 691.94, 684.37]",A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.14_p.m.png,https://static.wikia.nocookie.net/theclock/images/9/9d/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.14_p.m.png/revision/latest/scale-to-width-down/185?cb=20200807203931,https://static.wikia.nocookie.net/theclock/images/9/9d/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.14_p.m.png
32,33,A Nightmare on Elm Street 4 The Dream Master 10.18 p.m.png,10,18,"[1044.71, 334.37, 378.96, 304.07]",A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.18_p.m.png,https://static.wikia.nocookie.net/theclock/images/7/79/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.18_p.m.png/revision/latest/scale-to-width-down/185?cb=20200807203934,https://static.wikia.nocookie.net/theclock/images/7/79/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.18_p.m.png
33,34,A Nightmare on Elm Street 4 The Dream Master 10.23 p.m.png,10,23,"[196.46, 53.64, 918.26, 946.26]",A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.23_p.m.png,https://static.wikia.nocookie.net/theclock/images/1/15/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.23_p.m.png/revision/latest/scale-to-width-down/185?cb=20200807203939,https://static.wikia.nocookie.net/theclock/images/1/15/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.23_p.m.png
34,35,A Nightmare on Elm Street 4 The Dream Master 10.26 p.m.png,10,26,"[531.51, 178.8, 508.08, 520.18]",A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.26_p.m.png,https://static.wikia.nocookie.net/theclock/images/3/31/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.26_p.m.png/revision/latest/scale-to-width-down/185?cb=20200807203944,https://static.wikia.nocookie.net/theclock/images/3/31/A_Nightmare_on_Elm_Street_4_The_Dream_Master_10.26_p.m.png
